question,answer
¿Qué aspectos se deben tener en cuenta en la gestión de proyectos relacionados con la producción de espectáculos en vivo?,"Se deben considerar aspectos como la viabilidad económica, presupuestos, fuentes de financiación, organigramas de equipos de trabajo, diagramas de PERT y GANTT, entre otros."
¿Qué se dicta de conformidad con el art. 3.3 mencionado en el texto?,Se dicta la creación de la comisión de explotación del trasvase.
¿Qué cuestión se plantea en el documento BOE-A-2012-13842 en relación con la Ley de Cantabria 2/2011?,"Se plantea una cuestión de inconstitucionalidad en relación con el artículo 2 de la Ley de Cantabria 2/2011, por posible vulneración de varios artículos de la Constitución."
¿Qué prohíbe el Reglamento (UE) nº 1233/2012 de la Comisión?,Prohíbe la pesca de rayas en aguas de la UE de VIId por parte de los buques que enarbolan pabellón de los Países Bajos.
¿Qué disposición ha dejado de estar vigente según el texto?,La disposición mencionada en el texto ha dejado de estar vigente.
¿Qué temas se mencionan en el texto?,"Se mencionan materias como el carbón, la cotización a la Seguridad Social, las minas y los regímenes especiales de la Seguridad Social."
¿Quiénes son los destinatarios de la Directiva mencionada en el texto?,Los Estados miembros
¿Qué indica el acta de ensayo cuando se utiliza un tambor de superficie texturada en lugar de lisa y de acero?,"Indicará la circunstancia de la textura de la superficie, que será de 180 μm de profundidad y el laboratorio será responsable de conservar las características relativas a la rugosidad de la superficie."
¿Qué se considera hipotecas titulizadas según la ley mencionada en el texto?,"Se consideran hipotecas titulizadas aquellos préstamos con garantía hipotecaria contratados por un consumidor con una entidad de crédito y cedidos a un fondo de titulización, de acuerdo a la normativa mencionada en el texto."
¿Qué se requiere para que un titular de una licencia de radioaficionado expedida por un país que acepta la licencia CEPT pueda hacer uso de su estación de aficionado durante su estancia temporal en España?,"Deberá haber obtenido la licencia de radioaficionado CEPT expedida por una Administración de un país, miembro o no de la CEPT, que acepte dicha licencia."
¿Qué palabras se mencionan en el texto?,"Materias, Agrios, Ayudas, España, Portugal, Precios"
¿Qué organismo creó la Decisión del Consejo de Administración de Europol de 4 de junio de 2009?,La Oficina Europea de Policía (Europol)
¿Qué contempla la Decisión 90/424/CEE del Consejo?,"La posibilidad de una participación financiera de la Comunidad en la erradicación y vigilancia de enfermedades animales, así como en los controles relativos a la prevención de las zoonosis."
¿Cuál es el nombre completo de la persona mencionada en el fragmento de texto?,Hafiz Abdul Salam Bhuttavi
¿Qué porcentaje máximo de cualquier mezcla de especies puede consistir una captura a bordo según el texto?,No más del 60 %
¿Qué reglamento de la Comisión se menciona en el texto y cuál es su propósito?,"El Reglamento (CEE) núm. 711/93 de la Comisión, de 25 de marzo de 1993, se menciona en el texto y su propósito es el restablecimiento de la recaudación de los derechos arancelarios aplicables a los productos de la categoría núm. 9 originarios de Indonesia, beneficiarios de preferencias arancelarias previstas por otro reglamento."
¿Cuál es la fecha de entrada en vigor de la disposición mencionada?,03/06/1987
¿Qué instituciones verificaron y autorizaron el plan de estudios del Máster en Planificación Territorial y Gestión Ambiental?,"El plan de estudios fue verificado por el Consejo de Universidades, con informe de la Agència per a la Qualitat del Sistema Universitari de Catalunya, y autorizado por la Comunidad Autónoma de Cataluña."
¿Qué tipo de compensación pueden percibir los becarios cuando se requiera realizar desplazamientos fuera del término municipal?,"Los becarios podrán percibir bolsas de viaje en compensación por los gastos de desplazamientos, estancias y manutención."
¿Qué organismo promovió el recurso de inconstitucionalidad número 1.297/1997?,El Presidente del Gobierno
¿Qué tipo de ayuda se procede a fijar con este reglamento?,Ayudas al almacenamiento privado en el sector de la carne de porcino.
¿A quién se delega la facultad de autorización y compromiso de los gastos en el capítulo 1.o del servicio presupuestario «05-Dirección General de Asuntos Económicos»?,Se delega en el Director general de Infraestructura.
¿Qué especie de pescado se menciona en el texto?,Rape (Lophiidae)
¿Quién es el Ministro encargado de la Seguridad Presidencial según el texto?,Teniente Jean-Claude llamado COPLAN PIVI
¿Qué autoriza el Decreto 999/1960 en su artículo segundo?,"Autoriza a los organismos, entidades y personas interesadas a formular reclamaciones o peticiones en relación con el Arancel de Aduanas y en defensa de sus legítimos intereses."
¿Qué se modificó en la Orden de 29 de junio de 2001?,"Se modificó la Orden de 11 de julio de 1997, por la que se reorganizan los Servicios Centrales de la Agencia Estatal de Administración Tributaria."
¿Qué entidades de crédito con domicilio social en España pueden agrupar las cuotas de liquidez en una entidad que gestione la liquidez en el mercado interbancario?,Las entidades de crédito con domicilio social en España que hayan cedido la gestión de su liquidez de modo sistemático a otra entidad con la que tengan un acuerdo de compensación contractual.
¿Qué reglamento modifica el Reglamento (CE) nº 349/2003 según el texto proporcionado?,El Reglamento (CE) nº 605/2006 de la Comisión modifica el Reglamento (CE) nº 349/2003 por el que se suspende la introducción en la Comunidad de especímenes de determinadas especies de fauna y flora silvestres.
¿Qué productos están exentos de derechos de aduana en la campaña 2011/12 según el Reglamento?,"Los productos pertenecientes a los códigos NC 1001 99 00, de todas las calidades excepto de calidad alta, y NC 1003."
¿Qué establece el artículo 2 de la Orden de 19 de diciembre de 1997 mencionada en el texto?,"El artículo 2 establece que la Dirección General del Instituto Nacional de Empleo determinará, mediante resolución administrativa, las actividades y ocupaciones preferentes para la aprobación de proyectos de interés general y social."
¿Qué tipo de productos y marcas de tabaco se mencionan en el fragmento de texto?,"En el fragmento de texto se mencionan cigarrillos de marcas como Barclay Ultralights, J P S Superlights, J P S Ultra Lights, Gauloises Blondes U. Lights, Viceroy, Viceroy Lights, cigarros de marcas como Victoria-Cortados, Alvaro-Regalos, La Paz-Gran Corona, Castella-Classic, entre otros, tabaco para pipa de marcas como St. Bruno Ready Rubbed, Dunhill My Mixture 965, Dunhill Standard Mixture Mild, Dunhill Royal Yacht Mixture, y tabaco para liar de marcas como Drumm-Extra Mild, Cutters Choice, Samson Halfzware Shag."
¿Qué se convoca en el Decreto del Consejo General del País Vasco de 12 de enero de 1980?,Se convocan elecciones al Parlamento Vasco.
¿Para qué se concedió el crédito extraordinario y suplemento de crédito al Ministerio de la Gobernación según la Ley 99/1969?,Se concedió para la adquisición de uniformes para el personal al servicio de la Dirección General de Correos y Telecomunicación por los años 1968 y 1969.
¿Qué tipo de documento se menciona en el fragmento de texto?,Se menciona un acuerdo del Consejo de Universidades que homologa el plan de estudios del primero y segundo ciclos de la Facultad de Ciencias Políticas y Sociología de la Universidad Autónoma de Barcelona.
¿Qué tipo de asignaturas se mencionan en el texto?,"Se mencionan asignaturas obligatorias y optativas relacionadas con la inclusión, exclusión social, educación y otros temas."
¿Qué facultad ha sido delegada en el Presidente de la Autoridad Portuaria de Marín y Ría de Pontevedra según la resolución?,La facultad para resolver las solicitudes relativas al ejercicio de la actividad de agente consignatario de buques y las derivadas de la prestación del servicio comercial de consignación de mercancías en contenedor en el Puerto de Marín.
¿Qué se prorroga en la Orden de 11 de noviembre de 1980?,"Se prorroga el plazo fijado en la Orden de 18 de julio de 1980, que establece normas sobre incorporación de los Agentes comerciales trabajadores por cuenta ajena al régimen especial de la Seguridad Social de los representantes de comercio."
¿Qué establece el Decreto 281/2001 del 20 de diciembre?,El Decreto establece el Registro Territorial de la Propiedad Intelectual de la Comunidad de Madrid y fija la fecha en que iniciará su funcionamiento.
¿Quiénes fueron las partes que suscribieron la revisión salarial del acuerdo laboral para la enseñanza privada de 14 de junio de 1993?,"La Confederación Española de Centros de Enseñanza (CECE) y las centrales sindicales UGT, CC. OO., USO y CIG en representación del colectivo laboral afectado."
¿Qué se acuerda en la Orden de 4 de marzo de 1974 mencionada en el texto?,La supresión del Juzgado de Paz de Tapia (Burgos).
¿Qué competencia atribuye el Real Decreto 1007/2015 al Estado según el texto?,El Real Decreto 1007/2015 atribuye al Estado competencias para adoptar legislación básica en materia de medio ambiente.
¿Qué regula el Decreto 1119/1966 del 14 de abril?,Regula la situación de los Procuradores afectados por la alteración de partidos judiciales.
¿Qué trata el Decreto 3735/1964 mencionado en el texto?,"El Decreto 3735/1964 trata sobre la ampliación de los plazos previstos en la disposición transitoria tercera del Decreto 2168/1964, para establecimiento de la cuantía de las devoluciones a la exportación y para la solicitud del abono de las diferencias a que el mismo diera lugar."
¿Qué establece la Decisión del Consejo de 20 de noviembre de 1974 en relación con el mercado del azúcar?,La Decisión del Consejo establece la necesidad de establecer un mecanismo de vigilancia estrecha y regular de todos los movimientos de azúcar en el mercado.
¿Cuándo entró en vigor el presente Reglamento?,El presente Reglamento entró en vigor el 1 de mayo de 2004.
¿Cuál es la fecha de publicación de la Orden de 20 de junio de 1960 sobre crédito cinematográfico?,La fecha de publicación de la Orden de 20 de junio de 1960 sobre crédito cinematográfico es el 10 de octubre de 1960.
¿Cuál es la fecha de entrada en vigor de este Reglamento?,El Reglamento entrará en vigor el 29 de abril de 1997.
¿Qué países participaron en el Acuerdo de aplicación de salvaguardias mencionado en el texto?,"El Organismo Internacional de Energía Atómica, el Gobierno de España y el Gobierno de los Estados Unidos de América."
¿Qué error se observó en la transcripción y contenido de la Resolución de la Universidad de Lleida?,"Se observó un error en el sumario y texto de la Resolución, donde se mencionaba una fecha incorrecta en lugar de la fecha correcta."
¿Qué institución publicó el plan de estudios para la obtención del título de Ingeniero de Montes (2.º ciclo) en abril de 1993?,La Universidad de Lleida publicó el plan de estudios para la obtención del título de Ingeniero de Montes (2.º ciclo) en abril de 1993.
¿Qué establece el Reglamento (UE) nº 1026/2010 de la Comisión?,El Reglamento (UE) nº 1026/2010 de la Comisión fija un porcentaje único de aceptación de las cantidades notificadas por los Estados miembros a la Comisión relativas a las solicitudes de la prima por arranque para la campaña vitícola 2010/11.
¿Qué regula el Reglamento (CEE) nº 2471/87 de la Comisión?,Regula el régimen aplicable a las importaciones en Italia de determinados textiles originarios de Corea del Sur.
¿Qué regula la Orden de 30 de enero de 1981 mencionada en el texto?,Regula el acceso a las plazas docentes acreditadas para optar al título de Médico especialista en Instituciones Hospitalarias y Escuelas Profesionales.
¿Qué acciones se consideran faltas graves en el ámbito laboral según el texto?,"Hacer desaparecer, inutilizar, destrozar o causar desperfectos en materiales de la empresa, violar el secreto de la correspondencia, dedicarse a actividades contrarias a los intereses de la empresa, causar accidentes graves por negligencia, abandonar el trabajo en puestos de responsabilidad, entre otras."
¿A qué están reservadas las novena cifra en el texto proporcionado?,A los Estados miembros (necesidades estadísticas)
¿Qué universidad publicó la adaptación del plan de estudios de Diplomado en Fisioterapia a los Reales Decretos 614/1997 y 779/1998?,La Universidad de Cádiz publicó la adaptación del plan de estudios de Diplomado en Fisioterapia a los Reales Decretos 614/1997 y 779/1998.
¿Qué regula el Real Decreto 106/2011?,"El Real Decreto 106/2011 regula el Registro estatal de empresas previsto en la Ley 2/2009, la contratación con los consumidores de préstamos o créditos hipotecarios y de servicios de intermediación para la celebración de contratos de préstamo o crédito, y fija el importe mínimo del seguro de responsabilidad o aval bancario para el ejercicio de estas actividades."
"¿Qué trata el Decreto 2414/1968, de 20 de septiembre?","El Decreto 2414/1968, de 20 de septiembre, trata sobre la constitución de Patronatos Universitarios."
¿Cuál es la distribución de créditos en el plan de estudios del título de grado en Interpretación Musical?,"Materias básicas: 93 ECTS, Materias obligatorias: 99 ECTS, Materias optativas: 30 ECTS, Prácticas externas: 6 ECTS, Trabajo de Fin de Grado: 12 ECTS. Total: 240 ECTS."
¿Qué competencia exclusiva en materia de agricultura y ganadería tiene la Comunidad Autónoma de Canarias según el Estatuto de Autonomía?,La competencia exclusiva en materia de agricultura y ganadería de la Comunidad Autónoma de Canarias está atribuida por el Estatuto de Autonomía de Canarias aprobado por Ley Orgánica 10/1982.
¿Por qué se considera necesaria la creación de una Oficina Económica y Comercial de España en Zagreb?,"Se considera necesaria la creación de una Oficina Económica y Comercial de España en Zagreb para mejorar la asistencia a la empresa española en su penetración en el mercado croata, debido a las expectativas de crecimiento y desarrollo económico de Croacia, así como a los procesos de modernización y privatización en sectores clave."
¿Qué tipo de información no se hará pública según el texto?,La información intercambiada entre los Estados miembros no se hará pública cuando pueda obstaculizar las actividades de control del mercado y la cooperación entre los Estados miembros.
¿Qué circunstancias se consideran como motivos que justifiquen el traslado de una mujer víctima de violencia de género?,"Se consideran motivos que justifiquen el traslado la seguridad de la mujer y/o los y las menores a su cargo, y la recuperación social a medio y largo plazo en situaciones como reagrupación familiar, necesidad de formación o educación, o una oferta de trabajo que no se pueda realizar en su Comunidad Autónoma."
¿Quién será responsable de la correcta aplicación de las medidas y acciones contenidas en el Pacto mencionado en el texto?,"La Mesa Técnica de Igualdad, constituida el 26 de mayo de 2004 en Acuerdo de la Comisión de Seguimiento del III Acuerdo Marco del Grupo Repsol."
"¿Cuáles son los importes de las dietas para desayuno, comida y cena en territorio español para el año 2013?","Desayuno: 3,00 euros. Comida: 10,00 euros. Cena: 15,00 euros."
¿Cuál es el importe de referencia financiera destinado a cubrir los gastos asociados a la EUAM Ucrania para el período entre el 1 de junio de 2019 y el 31 de mayo de 2021?,"El importe de referencia financiera destinado a cubrir los gastos asociados a la EUAM Ucrania para el período entre el 1 de junio de 2019 y el 31 de mayo de 2021 ascenderá a 54,138,700 EUR."
¿Qué decisión tomó la Comisión el 15 de diciembre de 2010 en relación con la Directiva 2008/90/CE del Consejo?,La Comisión decidió modificar la Directiva 2008/90/CE del Consejo para prorrogar el período de aplicación de la excepción relativa a las condiciones de importación de materiales de multiplicación de frutales y plantones de frutal destinados a la producción frutícola y procedentes de terceros países.
¿Por qué motivos se puede solicitar una excedencia forzosa según el texto?,Se puede solicitar una excedencia forzosa por la designación o elección para un cargo público que imposibilite la asistencia al trabajo.
¿Qué se puede adaptar mediante Resolución de la Subsecretaría del Departamento según la disposición final primera?,"Se pueden adaptar la dirección electrónica, la denominación de los centros y organismos responsables, la relación y características de los canales de acceso a los servicios disponibles en la sede, y cualquier otra característica que no sea de consignación obligatoria."
¿Qué profesionales podrán integrarse en el Colegio Profesional de Educadores Sociales de Andalucía según el artículo 3?,"Los profesionales que se encuentren en posesión del título universitario oficial de Diplomado en Educación Social establecido por el Real Decreto 1420/1991, de 30 de agosto, o de los títulos, nacionales o extranjeros, declarados equivalentes u homologados por la autoridad competente."
¿Qué instituciones han dado su aprobación para la modificación del plan de estudios de Graduado en Ingeniería de Tecnologías y Servicios de Telecomunicación?,"El Consejo de Universidades, la Agencia Nacional de Evaluación de la Calidad y Acreditación, la Comunidad Autónoma de Valencia y el Consejo de Ministros."
¿A quién atribuye el nuevo real decreto las competencias y obligaciones derivadas de la normativa comunitaria?,"El nuevo real decreto atribuye las competencias y obligaciones derivadas de la normativa comunitaria a los órganos de defensa de la competencia estatales, que constituyen las autoridades de competencia en España."
¿Quién tiene la condición de Corporación de Derecho público según el texto?,Los Consejos Generales de los Colegios
¿Qué sucede si los precios máximos de venta al público no son determinados a tiempo?,Se entenderán automáticamente prorrogados los últimos precios máximos.
¿Cuánto tiempo durará inicialmente el acuerdo mencionado en el texto?,El acuerdo tendrá una duración de un año.
¿Qué cultivos podrán consignarse en esta categoría según el fragmento de texto?,"Sorgo, triticale, mijo, alforjón, alpiste, guisantes, habas, altramuces, lentejas, garbanzos, vezas, y otras proteaginosas recolectadas secas."
¿Qué objetivo tiene la aplicación Taristat desarrollada por Eurostat?,El objetivo de la aplicación Taristat es permitir a los usuarios de la base de datos Comext tener un fácil acceso a información básica sobre las medidas arancelarias y los derechos de aduana.
¿Qué tipo de trabajos podrán concurrir al Premio José Francisco de Querol y Lombardero?,"Los autores de artículos o estudios de investigación sobre aspectos jurídicos relacionados con el ámbito de la defensa o de la Jurisdicción Militar, el Derecho Militar en general y particularmente, del Derecho Internacional de los derechos humanos y el Derecho Internacional Humanitario."
¿Cuál es el objetivo de la Constitución Española en relación con el derecho a la vivienda?,La Constitución Española obliga a los poderes públicos a promover las condiciones necesarias y a dictar las normas precisas para hacer efectivo el derecho de todos los españoles a disfrutar de una vivienda digna y adecuada.
¿Quiénes serán los beneficiarios de las ayudas comunitarias para los productores de atún y sardina según la Orden mencionada?,"Los beneficiarios de estas ayudas serán los productores de atún y de sardina que las soliciten, ya sea directamente o a través de su Organización de Productores, Cofradía de Pescadores u otra Asociación, de acuerdo con las condiciones establecidas en la Orden."
¿Qué trata el Acuerdo entre la Unión Europea y Georgia mencionado en el texto?,El Acuerdo trata sobre la protección de las indicaciones geográficas de los productos agrícolas y alimenticios.
¿Qué pueden hacer los municipios o provincias legitimados dentro del mes siguiente a la recepción del dictamen del Consejo de Estado o del órgano consultivo de la correspondiente Comunidad Autónoma?,"Los municipios o provincias legitimados pueden plantear el conflicto ante el Tribunal Constitucional, acreditando el cumplimiento de los requisitos exigidos en el artículo anterior y alegando los fundamentos jurídicos en que se apoya."
¿Qué compensación recibiría un trabajador que opte por cambiar de residencia según el texto?,"3.450 € brutos, como compensación por todos los gastos derivados de dicho traslado."
¿Qué prohíbe el Reglamento (UE) nº 928/2013 de la Comisión?,"Prohíbe la pesca de bacalao en la zona IV, las aguas de la UE de la zona IIa y la parte de la zona IIIa no incluida en el Skagerrak y el Kattegat por parte de los buques que enarbolan pabellón de Suecia."
¿Qué producto específico se identifica con la denominación 'Silter' (DOP) según el texto?,El producto identificado con la denominación 'Silter' (DOP) es un queso de la clase 1.3 según el Reglamento de Ejecución (UE) nº 668/2014 de la Comisión.
¿Cuándo entrará en vigor la presente Ley según el texto proporcionado?,La presente Ley entrará en vigor el día siguiente al de su publicación en el «Boletín Oficial de la Región de Murcia».
¿Qué requisitos exige el Real Decreto 1160/2010 para la integración de una nueva Academia en el Instituto de España?,"El Real Decreto 1160/2010 exige la valoración de la trayectoria de la entidad que se pretende integrar, así como la calidad y excelencia de sus miembros y actividades."
¿Qué ley se menciona en el fragmento de texto y cuál fue su importancia?,"La Ley 17/2006 de 5 de junio, de la radio y televisión de titularidad estatal, fue importante porque supuso una reforma del sector audiovisual de titularidad estatal y creó la Corporación RTVE dotándola de un régimen jurídico moderno."
¿Qué opciones posteriores pueden tener los jóvenes que accedan a viviendas protegidas en Navarra según el texto?,Las opciones posteriores pueden ser la opción de compra sobre la vivienda alquilada o la adjudicación en propiedad de otra vivienda protegida.
¿Qué sucede si un interesado no solicita la inscripción definitiva de una instalación de producción de energía eléctrica en un plazo de tres meses?,La inscripción previa será cancelada.
